"Title";"Type";"Rootfolder";"LibraryName";"Language";"Fallback";"TextTruncated";"Download Source";"Fav Provider Link"
"Guardians of the Galaxy Vol. 2";"Movie";"8. Movies - MCU - Infinity Saga";"Movies";"Textless";"false";"false";"https://image.tmdb.org/t/p/original/fNHBT8jiQu7JoqpUiMmLGFkHgt4.jpg";"https://www.themoviedb.org/movie/283995/images/posters"
"Guardians of the Galaxy Vol. 3";"Movie";"7. Movies - Marvel";"Movies";"Textless";"false";"false";"https://image.tmdb.org/t/p/original/uyh673GUi1MBHMlisNBfOeNl70O.jpg";"https://www.themoviedb.org/movie/447365/images/posters"
"Halloween";"Movie";"4. Movies - Horror";"Movies";"Textless";"false";"false";"https://image.tmdb.org/t/p/original/w39fBQxL8rVqxC0PqcFkl8nEyBi.jpg";"https://www.themoviedb.org/movie/948/images/posters"
"Halloween";"Movie";"4. Movies - Horror";"Movies";"Textless";"false";"false";"https://image.tmdb.org/t/p/original/hD0D5sQLxqkIzDRqJky5YBi4VeF.jpg";"https://www.themoviedb.org/movie/2082/images/posters"
"Halloween";"Movie";"4. Movies - Horror";"Movies";"Textless";"false";"false";"https://image.tmdb.org/t/p/original/yy6H52IirCd9xA0kSMdYc08W6bo.jpg";"https://www.themoviedb.org/movie/424139/images/posters"
"Halloween 4: The Return of Michael Myers";"Movie";"4. Movies - Horror";"Movies";"Textless";"false";"false";"https://image.tmdb.org/t/p/original/jQT6xWlxNRtnJqrsRLhQByK6BqZ.jpg";"https://www.themoviedb.org/movie/11357/images/posters"
"Halloween 5: The Revenge of Michael Myers";"Movie";"4. Movies - Horror";"Movies";"Textless";"false";"false";"https://image.tmdb.org/t/p/original/uD2MbxzJKa0v007o5WINQJ2zUL9.jpg";"https://www.themoviedb.org/movie/11361/images/posters"
"Halloween Ends";"Movie";"4. Movies - Horror";"Movies";"Textless";"false";"false";"https://image.tmdb.org/t/p/original/f4fFdlT4tzDlWeGTXi0JRWwZ60w.jpg";"https://www.themoviedb.org/movie/616820/images/posters"
"Halloween H20: 20 Years Later";"Movie";"4. Movies - Horror";"Movies";"Textless";"false";"false";"https://image.tmdb.org/t/p/original/oHwsKbP3nUJoEpcozoMSyiF3dPd.jpg";"https://www.themoviedb.org/movie/11675/images/posters"
"Halloween II";"Movie";"4. Movies - Horror";"Movies";"Textless";"false";"false";"https://image.tmdb.org/t/p/original/cvUJCnjQlRf2n8wMjKMrQ5OR0M6.jpg";"https://www.themoviedb.org/movie/11281/images/posters"
"Halloween II";"Movie";"4. Movies - Horror";"Movies";"Textless";"false";"false";"https://image.tmdb.org/t/p/original/nfssvS4UnDypxMbuzjon3HwnZyH.jpg";"https://www.themoviedb.org/movie/24150/images/posters"
"Halloween III: Season of the Witch";"Movie";"4. Movies - Horror";"Movies";"Textless";"false";"false";"https://image.tmdb.org/t/p/original/eyVlly2QZAFRsXUBDmlgs1zCcoK.jpg";"https://www.themoviedb.org/movie/10676/images/posters"
"Halloween Kills";"Movie";"4. Movies - Horror";"Movies";"Textless";"false";"false";"https://image.tmdb.org/t/p/original/gLId5yvSuc2apwFGrvk5RAQeobe.jpg";"https://www.themoviedb.org/movie/610253/images/posters"
"Halloween: Resurrection";"Movie";"4. Movies - Horror";"Movies";"Textless";"false";"false";"https://image.tmdb.org/t/p/original/z71Tnkp6OFdgBqJrhKeKDkRCnPI.jpg";"https://www.themoviedb.org/movie/11442/images/posters"
"Halloween: The Curse of Michael Myers";"Movie";"4. Movies - Horror";"Movies";"Textless";"false";"false";"https://image.tmdb.org/t/p/original/jkSdisp41uBtsoUfDxONdQxvkBA.jpg";"https://www.themoviedb.org/movie/10987/images/posters"
"Hancock";"Movie";"Hancock (2008)";"Movies";"Textless";"false";"false";"https://image.tmdb.org/t/p/original/9LwFkrjSmOnoSEh0NubGhPSYU8R.jpg";"https://www.themoviedb.org/movie/8960/images/posters"
"Hannah Montana: Miley Says Goodbye";"Movie";"13. Movies - Disney";"Movies";"Textless";"false";"false";"https://image.tmdb.org/t/p/original/z0LZOhKMflLIlL9HAwZZVuNKzPz.jpg";"https://www.themoviedb.org/movie/65159/images/posters"
"Hannibal";"Movie";"4. Movies - Horror";"Movies";"Textless";"false";"false";"https://image.tmdb.org/t/p/original/3IqHugAQf6nlzc0n768Rsq8BWFh.jpg";"https://www.themoviedb.org/movie/9740/images/posters"
"The Happening";"Movie";"The Happening (2008)";"Movies";"Textless";"false";"false";"https://image.tmdb.org/t/p/original/6LwYgN4vYwznf7N1AVUWTXR173s.jpg";"https://www.themoviedb.org/movie/8645/images/posters"
"Happy Christmas";"Movie";"3. Movies - Holiday";"Movies";"Textless";"false";"false";"https://image.tmdb.org/t/p/original/82n6B5FcWlZuTX4S67uuG3qAKMc.jpg";"https://www.themoviedb.org/movie/244534/images/posters"
"Harold & Kumar Escape from Guantanamo Bay";"Movie";"9. Movies - Series";"Movies";"Textless";"false";"false";"https://image.tmdb.org/t/p/original/v0hpA0SzcrCAe3mwwNPnlohV3Wk.jpg";"https://www.themoviedb.org/movie/13335/images/posters"
"Harold & Kumar Go to White Castle";"Movie";"9. Movies - Series";"Movies";"Textless";"false";"false";"https://image.tmdb.org/t/p/original/5Y9XQIqAdb3Ulx8FpxScVMtZ1lg.jpg";"https://www.themoviedb.org/movie/11282/images/posters"
"Harry Potter and the Chamber of Secrets";"Movie";"9. Movies - Series";"Movies";"Textless";"false";"false";"https://image.tmdb.org/t/p/original/7qcNYD8yQEbCmdDv7oI2xDJOCid.jpg";"https://www.themoviedb.org/movie/672/images/posters"
"Harry Potter and the Deathly Hallows: Part 1";"Movie";"9. Movies - Series";"Movies";"Textless";"false";"false";"https://image.tmdb.org/t/p/original/iEAuvMhBXObniBiZFBa88zuT3Yn.jpg";"https://www.themoviedb.org/movie/12444/images/posters"
"Harry Potter and the Deathly Hallows: Part 2";"Movie";"9. Movies - Series";"Movies";"Textless";"false";"false";"https://image.tmdb.org/t/p/original/6YwEmMurNra5Oh12HeqLTJt8AnK.jpg";"https://www.themoviedb.org/movie/12445/images/posters"
"Harry Potter and the Goblet of Fire";"Movie";"9. Movies - Series";"Movies";"Textless";"false";"false";"https://image.tmdb.org/t/p/original/6MlHxFFGvqdqKurLz5rWCvkQ9cU.jpg";"https://www.themoviedb.org/movie/674/images/posters"
"Harry Potter and the Half-Blood Prince";"Movie";"9. Movies - Series";"Movies";"Textless";"false";"false";"https://image.tmdb.org/t/p/original/eoI2xA6cdLK7rVWckdPbw2GHZkE.jpg";"https://www.themoviedb.org/movie/767/images/posters"
"Harry Potter and the Order of the Phoenix";"Movie";"9. Movies - Series";"Movies";"Textless";"false";"false";"https://image.tmdb.org/t/p/original/1jWLPFaxymHLtVSVF09shtwqY3O.jpg";"https://www.themoviedb.org/movie/675/images/posters"
