"Library Name";"Library Type";"Library Language";"title";"originalTitle";"SeasonNames";"SeasonNumbers";"SeasonRatingKeys";"year";"tvdbid";"imdbid";"tmdbid";"ratingKey";"Path";"RootFoldername";"MultipleVersions";"PlexPosterUrl";"PlexBackgroundUrl";"PlexSeasonUrls"
"Movies";"movie";"en";"Son of Flubber";;;;;"1963";"26081";"tt0057518";"19762";"61615";"/data/Movies/";"Son of Flubber (1963)";"False";"/library/metadata/61615/thumb/1728487796";"/library/metadata/61615/art/1728487796";
"Movies";"movie";"en";"Son of the Mask";;;;;"2005";"2223";"tt0362165";"10214";"41600";"/data/Movies/";"The Mask";"False";"/library/metadata/41600/thumb/1728423267";"/library/metadata/41600/art/1728423267";
"Movies";"movie";"en";"Song of the South";;;;;"1946";"7456";"tt0038969";"13850";"63463";"/data/Movies/";"Song of the South (1946)";"False";"/library/metadata/63463/thumb/1728492796";"/library/metadata/63463/art/1728492796";
"Movies";"movie";"en";"Sonic the Hedgehog";;;;;"2020";"12651";"tt3794354";"454626";"38586";"/data/Movies/";"Sonic the Hedgehog (2020)";"False";"/library/metadata/38586/thumb/1728423268";"/library/metadata/38586/art/1728423268";
"Movies";"movie";"en";"Sonic the Hedgehog 2";;;;;"2022";"135895";"tt12412888";"675353";"38587";"/data/Movies/";"Sonic the Hedgehog 2 (2022)";"False";"/library/metadata/38587/thumb/1728423268";"/library/metadata/38587/art/1728423268";
"Movies";"movie";"en";"The Sorcerer's Apprentice";;;;;"2010";"713";"tt0963966";"27022";"55273";"/data/Movies/";"The Sorcerer's Apprentice (2010)";"False";"/library/metadata/55273/thumb/1728423268";"/library/metadata/55273/art/1728423268";
"Movies";"movie";"en";"Soul";;;;;"2020";"131117";"tt2948372";"508442";"12264";"/data/Movies/";"Soul (2020)";"False";"/library/metadata/12264/thumb/1728423268";"/library/metadata/12264/art/1728423268";
"Movies";"movie";"en";"Source Code";;;;;"2011";"1285";"tt0945513";"45612";"12267";"/data/Movies/";"Source Code (2011)";"False";"/library/metadata/12267/thumb/1728423268";"/library/metadata/12267/art/1728423268";
"Movies";"movie";"en";"South Park: Joining the Panderverse";;;;;"2023";;"tt29474455";"1190012";"38588";"/data/Movies/";"South Park Joining the Panderverse (2023)";"False";"/library/metadata/38588/thumb/1728423268";"/library/metadata/38588/art/1728423268";
"Movies";"movie";"en";"South Park: Post COVID";"South Park: Post Covid";;;;"2021";;"tt15005868";"874299";"38600";"/data/Movies/";"South Park Post Covid (2021)";"False";"/library/metadata/38600/thumb/1728423269";"/library/metadata/38600/art/1728423269";
"Movies";"movie";"en";"South Park: Post COVID - The Return of COVID";;;;;"2021";;"tt16375288";"874300";"38589";"/data/Movies/";"South Park Post COVID The Return of COVID (2021)";"False";"/library/metadata/38589/thumb/1728423269";"/library/metadata/38589/art/1728423269";
"Movies";"movie";"en";"South Park: The Streaming Wars";;;;;"2022";;"tt15783698";"974691";"38614";"/data/Movies/";"South Park the Streaming Wars (2022)";"False";"/library/metadata/38614/thumb/1728423269";"/library/metadata/38614/art/1728423269";
"Movies";"movie";"en";"Space Buddies";;;;;"2009";"12289";"tt1164647";"14749";"55854";"/data/Movies/";"Space Buddies (2009)";"False";"/library/metadata/55854/thumb/1728423269";"/library/metadata/55854/art/1728423269";
"Movies";"movie";"en";"Space Jam: A New Legacy";;;;;"2021";"81851";"tt3554046";"379686";"12270";"/data/Movies/";"Space Jam A New Legacy (2021)";"False";"/library/metadata/12270/thumb/1728423269";"/library/metadata/12270/art/1728423269";
"Movies";"movie";"en";"Spaceballs";;;;;"1987";"1349";"tt0094012";"957";"12286";"/data/Movies/";"Spaceballs (1987)";"False";"/library/metadata/12286/thumb/1728423269";"/library/metadata/12286/art/1728423269";
"Movies";"movie";"en";"Spawn";;;;;"1997";"4283";"tt0120177";"10336";"38617";"/data/Movies/";"Spawn (1997)";"False";"/library/metadata/38617/thumb/1728423269";"/library/metadata/38617/art/1728423269";
"Movies";"movie";"en";"Spectre";;;;;"2015";"296";"tt2379713";"206647";"43576";"/data/Movies/";"Spectre (2015)";"False";"/library/metadata/43576/thumb/1728423270";"/library/metadata/43576/art/1728423270";
"Movies";"movie";"en";"Spencer";;;;;"2021";"148838";"tt12536294";"716612";"14825";"/data/Movies/";"Spencer (2021)";"False";"/library/metadata/14825/thumb/1728423270";"/library/metadata/14825/art/1728423270";
"Movies";"movie";"en";"Spider-Man";;;;;"2002";"301";"tt0145487";"557";"39587";"/data/Movies/";"Spider-Man (2002)";"False";"/library/metadata/39587/thumb/1728423270";"/library/metadata/39587/art/1728423270";
"Movies";"movie";"en";"Spider-Man 2";;;;;"2004";"6389";"tt0316654";"558";"39611";"/data/Movies/";"Spider-Man 2 (2004)";"False";"/library/metadata/39611/thumb/1728423270";"/library/metadata/39611/art/1728423270";
"Movies";"movie";"en";"Spider-Man 3";;;;;"2007";"586";"tt0413300";"559";"39612";"/data/Movies/";"Spider-Man 3 (2007)";"False";"/library/metadata/39612/thumb/1728423270";"/library/metadata/39612/art/1728423270";
"Movies";"movie";"en";"Spider-Man: Across the Spider-Verse";;;;;"2023";"132814";"tt9362722";"569094";"39613";"/data/Movies/";"Spider-Man Across the Spider-Verse (2023)";"False";"/library/metadata/39613/thumb/1728423270";"/library/metadata/39613/art/1728423270";
"Movies";"movie";"en";"Spider-Man: Far from Home";;;;;"2019";"4137";"tt6320628";"429617";"41109";"/data/Movies/";"Spider-Man Far From Home (2019)";"False";"/library/metadata/41109/thumb/1728423271";"/library/metadata/41109/art/1728423271";
"Movies";"movie";"en";"Spider-Man: Homecoming";;;;;"2017";"68";"tt2250912";"315635";"41110";"/data/Movies/";"Spider-Man Homecoming (2017)";"False";"/library/metadata/41110/thumb/1728423271";"/library/metadata/41110/art/1728423271";
"Movies";"movie";"en";"Spider-Man: Into the Spider-Verse";;;;;"2018";"33";"tt4633694";"324857";"39620";"/data/Movies/";"Spider-Man Into the Spider-Verse (2018)";"False";"/library/metadata/39620/thumb/1728423271";"/library/metadata/39620/art/1728423271";
"Movies";"movie";"en";"Spider-Man: No Way Home";;;;;"2021";"132448";"tt10872600";"634649";"41111";"/data/Movies/";"Spider-Man No Way Home (2021)";"False";"/library/metadata/41111/thumb/1728423271";"/library/metadata/41111/art/1728423271";
"Movies";"movie";"en";"Spider-Man: The Ultimate Villain Showdown";;;;;"2002";"212363";"tt0499665";"49131";"39586";"/data/Movies/";"Spider Man The Ultimate Villain Showdown (2002)";"False";"/library/metadata/39586/thumb/1728423271";;
"Movies";"movie";"en";"Spies in Disguise";;;;;"2019";"12910";"tt5814534";"431693";"14844";"/data/Movies/";"Spies in Disguise (2019)";"False";"/library/metadata/14844/thumb/1728423272";"/library/metadata/14844/art/1728423272";
"Movies";"movie";"en";"Spirited Away";"千と千尋の神隠し";;;;"2001";"276";"tt0245429";"129";"44234";"/data/Movies/";"Spirited Away 2001";"False";"/library/metadata/44234/thumb/1728423272";"/library/metadata/44234/art/1728423272";
